Product List as of 20/08/2025,,,,,,
Product Code,Product Description,Product Group,Base Pack,Allocated,On Hand,Base Unit
SentiaNL-3001-6,A box of 6 x 50cl Sentia Gold for NL (Dutch Label),Spirit,1,0.0000,0.0000,PCS
Sentia-Red Brew 1,Brew 1 that goes into making Sentia Red,Brew,,0.0000,0.0000,L
Sentia-Red Brew 2,Brew 2 that goes into making Sentia Red,Brew,,0.0000,0.0000,L
Sentia-Red Brew 3,Brew 3 that goes into making Sentia Red (without linden),Brew,,9126.9360,0.0000,L
SentiaUS-1001,50cl bottle of Sentia Red for US,Spirit,1,10008.0000,8805.0000,PCS
SentiaUS-1001-6,A box of 6x50cl Sentia Red,Spirit,1,0.0000,2916.0000,PCS
SentiaUS-1001-6-D,A box of 6x50cl Sentia Red damaged in someway,Spirit,1,0.0000,0.0000,PCS
SentiaUS-1001-6-S,A box of 6x50cl Sentia Red only to be used for sampling,Spirit,1,0.0000,33.0000,PCS
SentiaUS-2001,50cl bottle of Sentia Black,Spirit,1,0.0000,7317.0000,PCS
SentiaUS-2001-6,A box of 6x50cl Sentia Black,Spirit,1,0.0000,1776.0000,PCS
SentiaUS-3001,50cl bottle of Sentia Gold for US,Spirit,1,9492.0000,9445.0000,PCS
SentiaUS-3001-6,A box of 6x50cl Sentia Gold for US,Spirit,1,0.0000,2910.0000,PCS
Spice Blend 5,Spice Blend 5- A blend of oleoresins used in Sentia Red.,Extract,,8436.3552,17497.2608,G
Star Anise,Dried Organic Fruit Pod - illicium verum.,Dried plant,,23388.6960,45599.9996,G
Szechuan Extract,Szechuan pepper oleoresin,Extract,1,0.0000,3285.7165,G
Thyme,Dried Thyme Leaf - Thymus vulgaris,Dried plant,,13364.0160,25000.0652,G
Tulsi Vana,Dried leaves of Tulsi Vana - Ocimum gratissimum.,Dried plant,,21149.4400,38442.6400,G
Tween 80,An emulsifier used to emulsify certain extracts,Processing agent,,8368.8384,16918.4336,G
Vaishali Black Blend,A blend of oleoresins used in Sentia Black.,Extract,,134.1600,2036.4280,G
Vanilla Extract,Natural Madagascan Vanilla Flavour oil extract  - Vanilla planifolia,Extract,,0.0000,22725.0000,G
Vitamin B1 - Thiamine,Water soluble powder - Thiamine hydrochloride.,Vitamin,,283.2600,867.3468,G
Vitamin B6 Powder,Vitamin B6. Purity 100%. Extract Ratio 1:1. Pyridoxine HCL,Vitamin,,243.3000,798.7064,G
Water - for mash - 85c,The water that is added into the mashtun with the plants for overnight steeping,Water,,,,L
Water - for mixing - 40c,The water that is used to mix in the spray dried extracts,Water,,,,L
Water - for mixing - 5-15c,The water that is used to mix in juices & extracts,Water,,,,L
Water - for sparging - 75c,The water that is added to the mash during sparging,Water,,,,L
WHISKEY-FLAV,WHISKEY-FLAV.CONC.;Bourbon NI,Extract,,0.0000,4489.0000,G
Whisky Brew,Brew for whiskey product,Brew,,0.0000,0.0000,L
Whisky Flavour,Water soluble whisky flavour extract,Extract,,0.0000,0.0000,G
White Grape Concentrate,Organic White Grape Juice Concentrate clear                      - Vitis vinifera,Juice,,259156.5948,75000.0000,G
Worm-wood fluid extract,Sensient Worm-wood fluid extract A - 1203897. Artemisia absinthium.,Extract,,1189.3440,4602.9152,G
